OBJECTID_1;Districto;Barrio;Shape_Leng;Shape_Area;COD_DIS;COD_DIS_TX;BARRIO_MAY;COD_DISBAR;COD_BAR;NUM_BAR;BARRIO_MT;COD_DISB
35;VicAlvaro;Valderrivas;4577,756836;643168,463;19;19;VALDERRIVAS;193;1903;03;VALDERRIVAS;19_3
131;VicAlvaro;El Cañaveral;15928,20256;10574251,79;19;19;EL CAÑAVERAL;194;1904;04;EL CAÑAVERAL;19_4
79;San Blas - Canillejas;Simancas;6683,599302;2276342,64;20;20;SIMANCAS;201;2001;01;SIMANCAS;20_1
69;San Blas - Canillejas;HellIn;3989,902796;550556,0793;20;20;HELLIN;202;2002;02;HELLIN;20_2
63;San Blas - Canillejas;Amposta;3097,460516;370249,9945;20;20;AMPOSTA;203;2003;03;AMPOSTA;20_3
61;San Blas - Canillejas;Arcos;5074,872108;1305194,038;20;20;ARCOS;204;2004;04;ARCOS;20_4
86;San Blas - Canillejas;Rosas;16073,10844;9296501,191;20;20;ROSAS;205;2005;05;ROSAS;20_5
88;San Blas - Canillejas;Rejas;13389,64872;5015732,122;20;20;REJAS;206;2006;06;REJAS;20_6
85;San Blas - Canillejas;Canillejas;5438,211307;1597706,227;20;20;CANILLEJAS;207;2007;07;CANILLEJAS;20_7
87;San Blas - Canillejas;Salvador;6577,506379;1880110,04;20;20;SALVADOR;208;2008;08;SALVADOR;20_8
101;Barajas;Alameda de Osuna;6044,942922;1970335,16;21;21;ALAMEDA DE OSUNA;211;2101;01;ALAMEDA DE OSUNA;21_1
124;Barajas;Aeropuerto;28744,09551;29626078,71;21;21;AEROPUERTO;212;2102;02;AEROPUERTO;21_2
112;Barajas;Casco HistOrico de Barajas;3388,647571;549393,8312;21;21;CASCO HISTORICO DE BARAJAS;213;2103;03;CASCO HISTORICO DE BARAJAS;21_3
123;Barajas;TimOn;11840,04489;5094466,328;21;21;TIMON;214;2104;04;TIMON;21_4
107;Barajas;Corralejos;9726,95075;4682537,436;21;21;CORRALEJOS;215;2105;05;CORRALEJOS;21_5
